personnel_id,snapshot_month,training_module_id,training_module_name,training_status,completion_percentage,training_completion_date,training_due_date
P0001,2025-05,TRN001,Annual Security Awareness,Completed,100,2025-05-25,2025-05-30
P0001,2025-05,TRN002,Data Protection Essentials (GDPR),Completed,100,2025-04-30,2025-05-30
P0001,2025-05,TRN003,Workplace Harassment Prevention,Completed,100,2025-05-13,2025-05-30
P0001,2025-05,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-05-20,2025-05-30
P0002,2025-05,TRN001,Annual Security Awareness,Completed,100,2025-05-22,2025-05-30
P0002,2025-05,TRN002,Data Protection Essentials (GDPR),Completed,100,2025-05-20,2025-05-30
P0002,2025-05,TRN003,Workplace Harassment Prevention,Completed,100,2025-05-26,2025-05-30
P0002,2025-05,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-05-11,2025-05-30
P0003,2025-05,TRN001,Annual Security Awareness,Completed,100,2025-05-19,2025-05-30
P0003,2025-05,TRN002,Data Protection Essentials (GDPR),Not Started,0,,2025-05-30
P0003,2025-05,TRN003,Workplace Harassment Prevention,Completed,100,2025-05-13,2025-05-30
P0003,2025-05,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-05-29,2025-05-30
P0004,2025-05,TRN001,Annual Security Awareness,In Progress,42,,2025-05-30
P0004,2025-05,TRN002,Data Protection Essentials (GDPR),Completed,100,2025-05-10,2025-05-30
P0004,2025-05,TRN003,Workplace Harassment Prevention,Completed,100,2025-05-02,2025-05-30
P0004,2025-05,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-05-04,2025-05-30
P0005,2025-05,TRN001,Annual Security Awareness,Completed,100,2025-05-17,2025-05-30
P0005,2025-05,TRN002,Data Protection Essentials (GDPR),Completed,100,2025-05-07,2025-05-30
P0005,2025-05,TRN003,Workplace Harassment Prevention,Completed,100,2025-05-17,2025-05-30
P0005,2025-05,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-05-08,2025-05-30
P0006,2025-05,TRN001,Annual Security Awareness,Completed,100,2025-05-12,2025-05-30
P0006,2025-05,TRN002,Data Protection Essentials (GDPR),Completed,100,2025-05-11,2025-05-30
